Player,,College,Year,NUMBER,PICK
Paolo Banchero,Orlando Magic,Duke,2022,1,1
Chet Holmgren,Oklahoma City Thunder,Gonzaga,2022,1,2
Jabari Smith Jr.,Houston Rockets,Auburn,2022,1,3
Keegan Murray,Sacramento Kings,Iowa,2022,1,4
Jaden Ivey,Detroit Pistons,Purdue,2022,1,5
Bennedict Mathurin,Indiana Pacers,Arizona,2022,1,6
Shaedon Sharpe,Portland Trail Blazers,Kentucky,2022,1,7
Dyson Daniels,New Orleans Pelicans,Ignite (G League),2022,1,8
Jeremy Sochan,San Antonio Spurs,Baylor,2022,1,9
Johnny Davis,Washington Wizards,Wisconsin,2022,1,10
Ousmane Dieng,New York Knicks,Breakers (New Zealand),2022,1,11
Jalen Williams,Oklahoma City Thunder,Santa Clara,2022,1,12
Jalen Duren,Charlotte Hornets,Memphis,2022,1,13
Ochai Agbaji,Cleveland Cavaliers,Kansas,2022,1,14
Mark Williams,Charlotte Hornets,Duke,2022,1,15
AJ Griffin,Atlanta Hawks,Duke,2022,1,16
Tari Eason,Houston Rockets,Louisiana State,2022,1,17
Dalen Terry,Chicago Bulls,Arizona State,2022,1,18
Jake LaRavia,Minnesota Timberwolves,Wake Forest,2022,1,19
Malaki Branham,San Antonio Spurs,Ohio State,2022,1,20
Christian Braun,Denver Nuggets,Kansas,2022,1,21
Walker Kessler,Memphis Grizzlies,Auburn,2022,1,22
David Roddy,Philadelphia 76ers,Colorado State,2022,1,23
MarJon Beauchamp,Milwaukee Bucks,Ignite (G League),2022,1,24
Blake Wesley,San Antonio Spurs,Notre Dame,2022,1,25
Wendell Moore Jr.,Dallas Mavericks,Duke,2022,1,26
Nikola Jovic,Miami Heat,KK Mega Leks (Serbia),2022,1,27
Patrick Baldwin Jr.,Golden State Warriors,Wisconsin-Milwaukee,2022,1,28
TyTy Washington Jr.,Memphis Grizzlies,Kentucky,2022,1,29
Peyton Watson,Oklahoma City Thunder,California-Los Angeles,2022,1,30
Andrew Nembhard,Indiana Pacers,Gonzaga,2022,2,1
Caleb Houstan,Orlando Magic,Michigan,2022,2,2
Christian Koloko,Toronto Raptors,Arizona,2022,2,3
Jaylin Williams,Oklahoma City Thunder,Arkansas,2022,2,4
Max Christie,Los Angeles Lakers,Michigan State,2022,2,5
Gabriele Procida,Portland Trail Blazers,Fortitudo Pallacanestro Bologna (Italy),2022,2,6
Jaden Hardy,Sacramento Kings,Ignite (G League),2022,2,7
Kennedy Chandler,San Antonio Spurs,Tennessee,2022,2,8
Khalifa Diop,Cleveland Cavaliers,CB Gran Canaria (Spain),2022,2,9
Bryce McGowens,Minnesota Timberwolves,Nebraska,2022,2,10
E.J. Liddell,New Orleans Pelicans,Ohio State,2022,2,11
Trevor Keels,New York Knicks,Duke,2022,2,12
Moussa Diabate,LA Clippers,Michigan,2022,2,13
Ryan Rollins,Atlanta Hawks,Toledo,2022,2,14
Josh Minott,Charlotte Hornets,Memphis,2022,2,15
Ismael Kamagate,Detroit Pistons,Paris (France),2022,2,16
Vince Williams Jr.,Memphis Grizzlies,Virginia Commonwealth,2022,2,17
Kendall Brown,Minnesota Timberwolves,Baylor,2022,2,18
Isaiah Mobley,Cleveland Cavaliers,Southern California,2022,2,19
Matteo Spagnolo,Minnesota Timberwolves,Vanoli Cremona (Italy),2022,2,20
Tyrese Martin,Golden State Warriors,Connecticut,2022,2,21
Karlo Matkovic,New Orleans Pelicans,Mega Mozzart (Serbia),2022,2,22
JD Davison,Boston Celtics,Alabama,2022,2,23
Yannick Nzosa,Washington Wizards,Unicaja Baloncesto Malaga (Spain),2022,2,24
Gui Santos,Golden State Warriors,Associacao Atletica Ponte Preta (Brazil),2022,2,25
Luke Travers,Cleveland Cavaliers,Perth Wildcats (Australia),2022,2,26
Jabari Walker,Portland Trail Blazers,Colorado,2022,2,27
Hugo Besson,Indiana Pacers,Breakers (New Zealand),2022,2,28
Cade Cunningham,Detroit Pistons,Oklahoma State,2021,1,1
Jalen Green,Houston Rockets,Ignite (G League),2021,1,2
Evan Mobley,Cleveland Cavaliers,Southern California,2021,1,3
Scottie Barnes,Toronto Raptors,Florida State,2021,1,4
Jalen Suggs,Orlando Magic,Gonzaga,2021,1,5
Josh Giddey,Oklahoma City Thunder,NBA Global Academy (Australia),2021,1,6
Jonathan Kuminga,Golden State Warriors,Ignite (G League),2021,1,7
Franz Wagner,Orlando Magic,Michigan,2021,1,8
Davion Mitchell,Sacramento Kings,Baylor,2021,1,9
Ziaire Williams,New Orleans Pelicans,Stanford,2021,1,10
James Bouknight,Charlotte Hornets,Connecticut,2021,1,11
Joshua Primo,San Antonio Spurs,Alabama,2021,1,12
Chris Duarte,Indiana Pacers,Oregon,2021,1,13
Moses Moody,Golden State Warriors,Arkansas,2021,1,14
Corey Kispert,Washington Wizards,Gonzaga,2021,1,15
Alperen Sengun,Oklahoma City Thunder,Besiktas (Turkey),2021,1,16
Trey Murphy III,Memphis Grizzlies,Virginia,2021,1,17
Tre Mann,Oklahoma City Thunder,Florida,2021,1,18
Kai Jones,New York Knicks,Texas,2021,1,19
Jalen Johnson,Atlanta Hawks,Duke,2021,1,20
Keon Johnson,New York Knicks,Tennessee,2021,1,21
Isaiah Jackson,Los Angeles Lakers,Kentucky,2021,1,22
Usman Garuba,Houston Rockets,Madrid (ESP),2021,1,23
Josh Christopher,Houston Rockets,Arizona State,2021,1,24
Quentin Grimes,LA Clippers,Houston,2021,1,25
Bones Hyland,Denver Nuggets,Virginia Commonwealth,2021,1,26
Cam Thomas,Brooklyn Nets,Louisiana State,2021,1,27
Jaden Springer,Philadelphia 76ers,Tennessee,2021,1,28
Day'Ron Sharpe,Phoenix Suns,North Carolina,2021,1,29
Santi Aldama,Utah Jazz,Loyola-Maryland,2021,1,30
Isaiah Todd,Milwaukee Bucks,Ignite (G League),2021,2,1
Jeremiah Robinson-Earl,New York Knicks,Villanova,2021,2,2
Jason Preston,Orlando Magic,Ohio,2021,2,3
Rokas Jokubaitis,Oklahoma City Thunder,BC Zalgiris (Lithuania),2021,2,4
Herbert Jones,New Orleans Pelicans,Alabama,2021,2,5
Miles McBride,Oklahoma City Thunder,West Virginia,2021,2,6
JT Thor,Detroit Pistons,Auburn,2021,2,7
Ayo Dosunmu,Chicago Bulls,Illinois,2021,2,8
Neemias Queta,Sacramento Kings,Utah State,2021,2,9
Jared Butler,Sacramento Kings,Baylor,2021,2,10
Joe Wieskamp,San Antonio Spurs,Iowa,2021,2,11
Isaiah Livers,Detroit Pistons,Michigan,2021,2,12
Greg Brown III,New Orleans Pelicans,Texas,2021,2,13
Kessler Edwards,Brooklyn Nets,Pepperdine,2021,2,14
Juhann Begarin,Boston Celtics,Paris (France),2021,2,15
